ID	タイトル	タイトルよみ	版	シリーズタイトル	責任表示	出版者	出版地（国名コード）	出版年月日等	出版年（W3CDTF）	タイトル（掲載誌）	授与機関名・学位	刊行巻次	大きさ、容量等	縮尺	分類（NDC）	分類（NDLC）	件名標目	ジャンル・形式用語	請求記号	書誌ID（NDLBibID）	識別子（URI）	DOI	国立国会図書館永続的識別子	規格・リポート番号	ISBN	ISSN、ISSN-L	ISMN（国際標準楽譜番号）	発売番号	並列タイトル	受理日（W3CDTF）	目次	注記	本文の言語コード（ISO639-2）	記録形式	掲載巻	掲載号	掲載通号	一次資料へのリンクURL	原資料（URI）	関連情報（URI）	異版（URI）	掲載誌（URI）	目次・記事（URI）	別の記録形式である（URI）	別の記録形式を持つ（URI）	改題前（NDLJP）	改題後（NDLJP）	収集根拠	所蔵機関	連携機関・データベース	アクセスURL	資料種別	資料形態
R100000039-I11499077	屋久島の高山性ミニチュア植物ヒメコナスビの小型化形質に関わる遺伝学的解析	屋久島の高山性ミニチュア植物ヒメコナスビの小型化形質に関わる遺伝学的解析			掛澤, 明弘	掛澤, 明弘		2020	2020		京都大学 , 博士(理学)												info:ndljp/pid/11499077							2020-06-08T17:12:21+09:00			jpn															博士論文（送信）		国立国会図書館デジタルコレクション	https://dl.ndl.go.jp/pid/11499077	博士論文	デジタル
R100000002-I025029962	屋久島に分布する火山灰由来土壌の生成論的研究	ヤクシマ ニ ブンプスル カザンバイ ユライ ドジョウ ノ セイセイロンテキ ケンキュウ			江口哲也 [著]	[江口哲也]	JP	[2012]	2012		筑波大学 , 博士(農学)		1冊			UT51			UT51-2013-L2	025029962	025029962											博士論文	jpn																国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I025029962	博士論文	紙
R100000002-I023381291	離島開発と資源の階層性 : 屋久島の森と海と節	リトウ カイハツ ト シゲン ノ カイソウセイ : ヤクシマ ノ モリ ト ウミ ト フシ			王智弘 [著]	[王智弘]	JP	[2010]	2010		東京大学 , 博士 (国際協力学)		1冊			UT51			UT51-2011-M805	023381291	023381291								A historical analysis on the multi-layered resources system of Yaku Island : a prospect for sustainable development through dried fish production			博士論文	jpn																国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I023381291	博士論文	紙
R100000002-I025012066	屋久島沿岸域に分布する岩盤割れ目内物質の充填環境及び形成年代	ヤクシマ エンガンイキ ニ ブンプスル ガンバン ワレメナイ ブッシツ ノ ジュウテン カンキョウ オヨビ ケイセイ ネンダイ			松下智昭 [著]	[松下智昭]	JP	[2013]	2013		埼玉大学 , 博士(学術)		1冊			UT51			UT51-2013-K194	025012066	025012066 , BB15106571											博士論文	jpn																国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I025012066	博士論文	紙
R100000002-I000010879368	鹿児島県屋久島産高等植物の矮小化に関する細胞分類学的研究	カゴシマケン ヤクシマサン コウトウ ショクブツ ノ ワイショウカ ニ カンスル サイボウ ブンルイガクテキ ケンキュウ			山本伸子 [著]	[山本伸子]	JP	[2010]	2010		岡山理科大学 , 博士 (学術)		1冊			UT51			UT51-2010-A791	000010879368	000010879368											博士論文	jpn																国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I000010879368	博士論文	紙
R100000002-I000008493342	屋久島,沖縄,ジャワ島における木生シダ類(ヘゴ属)の比較生態学的研究	ヤクシマ オキナワ ジャワトウ ニ オケル モクセイ シダルイ ヘゴゾク ノ ヒカク セイタイガクテキ ケンキュウ			永野徹 [著]	[永野徹]	JP	[2006]	2006		鹿児島大学 , 博士 (理学)		1冊			UT51			UT51-2007-B566	000008493342	000008493342								Comparative ecology of tree-ferns (Cyathea spp.) on Yakushima, Okinawa and Java Islands			博士論文	jpn																国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I000008493342	博士論文	紙
R100000002-I000011260424	鹿児島県屋久島および千葉県館山湾における潮間帯岩礁域に生息する魚類の生態学的研究	カゴシマケン ヤクシマ オヨビ チバケン タテヤマワン ニ オケル チョウカンタイ ガンショウイキ ニ セイソクスル ギョルイ ノ セイタイガクテキ ケンキュウ			村瀬敦宣 [著]	[村瀬敦宣]	JP	[2011]	2011		東京海洋大学 , 博士 (海洋科学)		1冊			UT51			UT51-2011-E936	000011260424	000011260424											博士論文	jpn																国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I000011260424	博士論文	紙
R100000002-I023439696	屋久島における酸素同位体比の内陸効果・標高効果の推定と花崗岩地帯の地下水流動の推定	ヤクシマ ニ オケル サンソ ドウイタイヒ ノ ナイリク コウカ ヒョウコウ コウカ ノ スイテイ ト カコウガン チタイ ノ チカスイ リュウドウ ノ スイテイ			横田恭平 [著]	[横田恭平]	JP	[2010]	2010		和歌山大学 , 博士 (工学)		1冊			UT51			UT51-2011-P796	023439696	023439696 , BB07185619								Effects of distance and altitude for oxygen isotope and estimating groundwater flow of granite in the Yakushima Island			博士論文	jpn																国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I023439696	博士論文	紙
R100000002-I000007479844	mtDNA変異の地理的分布からみた屋久島ニホンザルの完新世の歴史	mtDNA ヘンイ ノ チリテキ ブンプ カラ ミタ ヤクシマ ニホンザル ノ カンシンセイ ノ レキシ			早石周平 [著]	[早石周平]	JP	[2004]	2004		京都大学 , 博士 (理学)		1冊			UT51			UT51-2004-G501	000007479844	000007479844											博士論文	jpn																国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I000007479844	博士論文	紙
R100000002-I000008443891	屋久島の山岳空間における自然保護と観光利用の展開に伴う住民摩擦に関する研究	ヤクシマ ノ サンガク クウカン ニ オケル シゼン ホゴ ト カンコウ リヨウ ノ テンカイ ニ トモナウ ジュウミン マサツ ニ カンスル ケンキュウ			井関崇博 [著]	[井関崇博]	JP	[2006]	2006		東京工業大学 , 博士 (学術)		1冊			UT51			UT51-2006-R568	000008443891	000008443891											博士論文	jpn																国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I000008443891	博士論文	紙
R100000002-I000000308488	屋久島・照葉樹林における動物散布植物の生態学的研究	ヤクシマ ショウヨウジュリン ニ オケル ドウブツ サンプ ショクブツ ノ セイタイガクテキ ケンキュウ			野間直彦 [著]		JP				京都大学 , 博士 (理学)					UT51			UT51-97-H87	000000308488	000000308488	10.11501/3123298	info:ndljp/pid/3123298									博士論文																	国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I000000308488	博士論文	紙
R100000002-I000008491751	世界自然遺産登録地域及び周縁部を対象とする管理論の構築に向けた基礎的研究 : 鹿児島県屋久島を事例として	セカイ シゼン イサン トウロク チイキ オヨビ シュウエンブ オ タイショウ ト スル カンリロン ノ コウチク ニ ムケタ キソテキ ケンキュウ : カゴシマケン ヤクシマ オ ジレイ ト シテ			柴崎茂光 [著]	[柴崎茂光]	JP	[2006]	2006		東京大学 , 博士 (農学)		1冊			UT51			UT51-2007-B358	000008491751	000008491751											博士論文	jpn																国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I000008491751	博士論文	紙
R100000002-I000000390436	鹿児島県与論島漁民の屋久島移住に関する研究 : 民俗学における移住誌の構築	カゴシマケン ヨロントウ ギョミン ノ ヤクシマ イジュウ ニ カンスル ケンキュウ : ミンゾクガク ニ オケル イジュウシ ノ コウチク			野地恒有 [著]	[野地恒有]	JP	[2000]	2000		筑波大学 , 博士 (文学)		1冊			UT51			UT51-2000-P298	000000390436	000000390436	10.11501/3175040	info:ndljp/pid/3175040									博士論文	jpn																国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I000000390436	博士論文	紙
R100000002-I000004108546	屋久島におけるウナギ属シラスの接岸回遊とオオウナギの河川生活期の生態に関する研究	ヤクシマ ニ オケル ウナギゾク シラス ノ セツガン カイユウ ト オオウナギ ノ カセン セイカツキ ノ セイタイ ニ カンスル ケンキュウ			山本敏博 [著]	[山本敏博]	JP	2002	2002		九州大学 , 博士 (農学)		1冊			UT51			UT51-2003-D312	000004108546	000004108546											博士論文	jpn																国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I000004108546	博士論文	紙
R100000002-I000000218719	屋久島産ガジュツ含有セスキテルペンの化学的研究	ヤクシマサン ガジュツ ガンユウ セスキテルペン ノ カガクテキ ケンキュウ			蔡陽 [著]		JP				大阪大学 , 薬学博士					UT51 , UT27			UT51-89-H255	000000218719	000000218719	10.11501/11598657	info:ndljp/pid/11598657									博士論文																	国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I000000218719	博士論文	紙
R100000002-I000007784704	屋久島苔類誌	ヤクシマ タイルイシ			服部新佐 [著]		JP				東京大学 , 理学博士		冊			UT51			UT51-58-A1454	000007784704	000007784704											博士論文																	国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I000007784704	博士論文	紙
R000000025-I012210005632224	屋久島におけるニホンザルの消化物粒子径：変動パターン，決定要因および消化への潜在的影響	屋久島におけるニホンザルの消化物粒子径：変動パターン，決定要因および消化への潜在的影響			何, 天萌	Kyoto University		2022-09-26	2022-09-26		京都大学 , 博士(理学) , Doctor of Science				400		Chewing , Fecal particle size , Digestion , Gut microbes , Macaca fuscata					10.14989/doctor.k24184							The digesta particle size of Japanese macaques in Yakushima: Variation, determinants and its potential influence on digestion		grigk04875.pdf , yrigk04875.pdf		eng																	学術機関リポジトリデータベース（IRDB）（機関リポジトリ）	http://hdl.handle.net/2433/277327	博士論文	デジタル
R000000025-I012110005988530	屋久島においてDNA分析を用いてヤクシカの糞便から検出された植物分類群の地域的・季節的変動	屋久島においてDNA分析を用いてヤクシカの糞便から検出された植物分類群の地域的・季節的変動			東, 悠斗			2022-06-30	2022-06-30		九州大学 , 博士（理学） , DOCTOR OF SCIENCE																		Geographical and seasonal variation of plant composition detected in feces of Cervus nippon yakushimae using plant DNA analysis, in Yakushima Island, Japan		sls0268.pdf , sls0268_abstract.pdf , sls0268_review.pdf		eng																	学術機関リポジトリデータベース（IRDB）（機関リポジトリ）	https://hdl.handle.net/2324/4795532	博士論文	デジタル
R000000025-I012210004554308	屋久島の高山性ミニチュア植物ヒメコナスビの小型化形質に関わる遺伝学的解析	屋久島の高山性ミニチュア植物ヒメコナスビの小型化形質に関わる遺伝学的解析			掛澤, 明弘	Kyoto University		2020-03-23	2020-03-23		京都大学 , 博士(理学) , Doctor of Science				400		屋久島 , 高山 , 小型化 , 適応進化 , コナスビ					10.14989/doctor.k22285									yrigk04599.pdf , grigk04599.pdf		jpn										https://doi.org/10.1007/s00606-017-1410-2							学術機関リポジトリデータベース（IRDB）（機関リポジトリ）	http://hdl.handle.net/2433/253121	博士論文	デジタル
R000000025-I012210004073163	屋久島における標高傾度に沿った土壌窒素・リン可給性の相互作用を介した土壌－植生系の分化	屋久島における標高傾度に沿った土壌窒素・リン可給性の相互作用を介した土壌－植生系の分化			向井, 真那	Kyoto University		2019-05-23	2019-05-23		京都大学 , 博士(農学) , Doctor of Agricultural Science				610		Phosphorus availability , Nitrogen availability , Elevation gradient , Soil-vegetation system , Volcanic ash soil					10.14989/doctor.k21968							Differentiation of the vegetation-soil system through the interactions of soil N and P availabilities along an elevational gradient on Yakushima Island, Japan		gnogk02358.pdf , ynogk02358.pdf		eng																	学術機関リポジトリデータベース（IRDB）（機関リポジトリ）	http://hdl.handle.net/2433/242919	博士論文	デジタル
R000000025-I012110000238155	年輪生態学的手法を用いた屋久島におけるスギ老齢林の長期森林動態の解明	年輪生態学的手法を用いた屋久島におけるスギ老齢林の長期森林動態の解明			伊髙, 静			2013-03-26	2013-03-26		九州大学 , 博士（農学） , DOCTOR OF PHILOSOPHY (Agricultural Science)											10.15017/26651							Dendroecological Analysis of Long-term Forest Dynamics of Old-growth Cryptomeria japonica Forest on Yakushima Island		agr708.pdf , agr708_abstract.pdf , 1. General Introduction 2. Estimation of Growth Rates Based on Tree-ring Analysis of Cryptomeria japonica on Yakushima Island, Japan 3. Identifying Dendroecological Growth Releases in Old-growth Cryptomeria japonica Forest on Yakushima Island, Japan 4. Comparing 30-years Diameter Censuses and Tree-ring Chronologies on Old-growth Cryptomeria japonica from Yakushima Island, Japan 5. General Discussion	主1-参1 , 森林資源	eng																	学術機関リポジトリデータベース（IRDB）（機関リポジトリ）	https://hdl.handle.net/2324/26651	博士論文	デジタル
R000000025-I012210000041117	屋久島におけるシマヘビの色彩二型, 特に温度生物学に関する論及	ヤクシマ ニ オケル シマヘビ ノ シキサイ ニガタ トクニ オンド セイブツガク ニ カンスル ロンキュウ			Tanaka, Koji	京都大学 (Kyoto University)		2006-03-23	2006-03-23		京都大学 , 博士(理学) , Doctor of Science				400							10.14989/doctor.k12150							Colour dimorphism in Elaphe quadrivirgata (Serpentes:Colubridae) on Yakushima Island, with special reference to its thermal biology		D_Tanaka_Koji.pdf , yrigk03044.pdf		eng																	学術機関リポジトリデータベース（IRDB）（機関リポジトリ）	http://hdl.handle.net/2433/73210	博士論文	デジタル
R000000025-I012210000110855	mtDNA変異の地理的分布からみた屋久島ニホンザルの完新世の歴史	mtDNA ヘンイ ノ チリテキ ブンプ カラ ミタ ヤクシマ ニホンザル ノ カンシンセイ ノ レキシ			早石, 周平	京都大学 (Kyoto University)		2004-03-23	2004-03-23		京都大学 , 博士(理学) , Doctor of Science				400																		jpn					http://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/147856/1/yrigk02796.pdf												学術機関リポジトリデータベース（IRDB）（機関リポジトリ）	http://hdl.handle.net/2433/147856	博士論文	デジタル
R000000025-I012210000112119	ニホンザルの分子生態学 : 屋久島の野生群における性行動と父性	ニホンザル ノ ブンシ セイタイガク : ヤクシマ ノ ヤセイグン ニ オケル セイコウドウ ト フセイ			Hayakawa, Sachiko	京都大学 (Kyoto University)		2003-03-24	2003-03-24		京都大学 , 博士(理学) , Doctor of Science				400														Molecular Ecology of the Japanese Macaque(Macaca fuscata yakui) : Sexual Behavior and Paternity in Wild Yakushima Troops				eng					http://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/149149/1/yrigk02689.pdf												学術機関リポジトリデータベース（IRDB）（機関リポジトリ）	http://hdl.handle.net/2433/149149	博士論文	デジタル
R000000025-I012210000113349	屋久島の野生ニホンザルにおける交尾コストの変異	屋久島の野生ニホンザルにおける交尾コストの変異			Matsubara, Miki	京都大学 (Kyoto University)		2001-05-23	2001-05-23		京都大学 , 博士(理学) , Doctor of Science				400														Variation of Mating Costs in Wild Japanese Macaques(Macaca fuscata yakui)on Yakushima Island.				eng					http://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/150384/1/yrigk02381.pdf												学術機関リポジトリデータベース（IRDB）（機関リポジトリ）	http://hdl.handle.net/2433/150384	博士論文	デジタル
R000000025-I012210000053670	屋久島のニホンザルの異なる標高帯への生態学的適応に関する研究	ヤクシマ ノ ニホンザル ノ コトナル ヒョウコウタイ エ ノ セイタイガクテキ テキオウ ニ カンスル ケンキュウ			半谷, 吾郎	京都大学 (Kyoto University)		2002-03-25	2002-03-25		京都大学 , 博士(理学) , Doctor of Science				400							10.14989/doctor.k9374							ECOLOGICAL ADAPTATIONS OF JAPANESE MACAQUES IN YAKUSHIMA INTO VARIOUS ALTITUDINAL ZONES		D_Hanya_Goro.pdf , yrigk02509.pdf		eng																	学術機関リポジトリデータベース（IRDB）（機関リポジトリ）	http://hdl.handle.net/2433/86471	博士論文	デジタル
R000000025-I012210000159940	屋久島の野生ニホンザルのオスの生活史と社会構造	屋久島の野生ニホンザルのオスの生活史と社会構造			Suzuki, Shigeru	京都大学 (Kyoto University)		1997-03-24	1997-03-24		京都大学 , 博士(理学) , Doctor of Science				400														Male life history and social structure of wild Japanese macaques in Yakushima, Japan.				eng					http://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/202456/1/yrigk01831.pdf												学術機関リポジトリデータベース（IRDB）（機関リポジトリ）	http://hdl.handle.net/2433/202456	博士論文	デジタル
